"","VTDST20GEOID","B15003_001","B15003_002","B15003_003","B15003_004","B15003_005","B15003_006","B15003_007","B15003_008","B15003_009","B15003_010","B15003_011","B15003_012","B15003_013","B15003_014","B15003_015","B15003_016","B15003_017","B15003_018","B15003_019","B15003_020","B15003_021","B15003_022","B15003_023","B15003_024","B15003_025"
"8606","42117000080",570.050279329609,2.16201117318436,0,0,0,0,0,0,0,0,0,5.76536312849162,3.60335195530726,22.340782122905,7.20670391061453,4.32402234636871,224.128491620112,18.0167597765363,41.0782122905028,40.3575418994413,65.5810055865922,112.424581005587,21.6201117318436,0,1.4413407821229
"8607","42117000090",427.471038251366,1.78360655737705,0,0,0,0,0,0,0,0,0,8.91803278688525,6.53989071038251,17.8360655737705,11.296174863388,6.53989071038251,196.791256830601,8.91803278688525,18.4306010928962,31.5103825136612,38.0502732240437,43.4010928961749,29.1322404371585,7.1344262295082,1.18907103825137
"8608","42117000110",770.719259541525,1.60984393757503,0,0,0,0,0,0,0,0,0,14.6062052505967,0,2.68307322929172,37.7379658307237,5.60431427941105,317.969486601323,37.7409140267085,33.7434954888877,70.4556524280356,93.6348334083036,117.373398046569,34.3403891389491,3.21968787515006,0
"8609","42117000120",143.370712401055,1.74538258575198,0,0,0,0,0,0,0,0,0,1.49604221635884,1.99472295514512,6.73218997361478,2.99208443271768,0,62.5844327176781,8.47757255936675,10.721635883905,14.212401055409,12.2176781002639,14.7110817941953,4.48812664907652,0.997361477572559,0
"8610","42117000130",33.5916955017301,0.207612456747405,0,0,0,0,0,0.124567474048443,0,0,0.0830449826989619,0.788927335640138,0.788927335640138,0.498269896193772,0.830449826989619,0.124567474048443,15.5709342560554,1.45328719723183,2.07612456747405,4.31833910034602,2.69896193771626,2.49134948096886,0.955017301038062,0.498269896193772,0.0830449826989619
"8611","42117000160",435.754356846473,1.09211618257261,0,0,0,0,0,0,0,0,0,8.19087136929461,16.3817427385892,18.0199170124481,9.82904564315353,1.09211618257261,144.705394190871,13.6514522821577,54.6058091286307,72.6257261410788,36.5858921161826,44.2307053941909,6.00663900414938,2.73029045643153,6.00663900414938
"8612","42117000170",425.494809688581,2.62975778546713,0,0,0,0,0,1.57785467128028,0,0,1.05190311418685,9.99307958477509,9.99307958477509,6.31141868512111,10.5190311418685,1.57785467128028,197.231833910035,18.4083044982699,26.2975778546713,54.6989619377163,34.1868512110727,31.5570934256055,12.0968858131488,6.31141868512111,1.05190311418685
"8613","42117000180",360.296442687747,0,0,0,0,0,0,0,0,2.79841897233202,0,0,0,41.9762845849802,12.5928853754941,2.79841897233202,138.521739130435,19.5889328063241,11.8932806324111,38.4782608695652,25.8853754940711,20.9881422924901,42.6758893280632,1.39920948616601,0.699604743083004
"8614","42117000230",636.758484609313,0,2.44593528018942,0,0,0,0,0,0,0,0,3.26124704025257,5.70718232044199,10.5990528808208,4.07655880031571,2.44593528018942,290.250986582478,37.5043409629045,28.5359116022099,64.4096290449882,83.1617995264404,52.9952644041042,41.5808997632202,7.33780584056827,2.44593528018942
"8615","42117000240",144.241515390687,0,0.554064719810576,0,0,0,0,0,0,0,0,0.738752959747435,1.29281767955801,2.40094711917916,0.923441199684294,0.554064719810576,65.7490134175217,8.4956590370955,6.46408839779006,14.5903709550118,18.8382004735596,12.0047355958958,9.4191002367798,1.66219415943173,0.554064719810576
